#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-21T02:42:53 [V7.5.8]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-21T02:42:54	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/PASP/122/1397/s4g&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.8	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_61221397
#Name: J/PASP/122/1397
#Title: Spitzer Survey of Stellar Structure in Galaxies (Sheth+, 2010)
#INFO	ivoid=ivo://cds.vizier/j/pasp/122/1397	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/pasp/122/1397	    IVOID of underlying data collection
#INFO	creator=Sheth K.	    First author or institution
#INFO	cites=bibcode:2010PASP..122.1397S	    Article or Data origin sources
#INFO	journal=PASP	    Journal name
#INFO	original_date=2010	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/PASP/122/1397	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.61221397	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-09-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_PASP_122_1397_s4g:
#Name: J/PASP/122/1397/s4g
#Title: S^4^G catalog Version 2 (2013-09)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	A	(A1)	Simbad column added by the CDS	[ucd=meta.note]
#Column	Name	(a10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	amaj	(F5.1)	? Semi-major axis at level {mu}(3.6um)=25.5mag(AB)/arcsec^2^	[ucd=phys.angSize.smajAxis]
#Column	PA	(F6.1)	[-160/90]? Position angle of major axis	[ucd=pos.posAng]
#Column	ell	(F6.3)	[0/1]? Ellipticity (1-b/a)	[ucd=src.ellipticity]
#Column	[3.6]	(F6.3)	? Spitzer/IRAC 3.6um asymptotic magnitude (AB)	[ucd=phot.mag;em.IR.3-4um]
#Column	e_[3.6]	(F6.3)	? Mean error on [3.6]	[ucd=stat.error]
#Column	[4.5]	(F6.3)	? Spitzer/IRAC 4.5um asymptotic magnitude (AB)	[ucd=phot.mag;em.IR.4-8um]
#Column	e_[4.5]	(F6.3)	? Growth-curve fitting error in [4.5]	[ucd=stat.error]
#Column	c31	(F6.3)	[1/]? r(75%)/r(25%) concentration index at 3.6um	[ucd=meta.code;spect.index;em.IR.3-4um]
#Column	c42	(F6.3)	? 5*log10(r(80%)/r(20%)) concentration index at 3.6um	[ucd=meta.code;spect.index;em.IR.3-4um]
#Column	M3.6	(F7.3)	? Absolute magnitude at 3.6um	[ucd=phys.magAbs;em.IR.3-4um]
#Column	M4.5	(F7.3)	? Absolute magnitude at 4.5um	[ucd=phys.magAbs;em.IR.4-8um]
#Column	logM*	(F6.3)	? Stellar mass	[ucd=phys.mass]
#Column	Dmean	(F7.3)	? Mean redshift-independent distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dmean	(F6.3)	? Standard deviation of Dmean	[ucd=stat.error]
#Column	TT	(F4.1)	? Morphological type code	[ucd=meta.code;src.morph.type]
#Column	e_TT	(F4.1)	? Error on TT	[ucd=stat.error]
#Column	Vr	(F7.1)	? Heliocentric radial velocity from radio measurement	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	e_Vr	(F4.1)	? Mean error on Vr	[ucd=stat.error]
#Column	S4G	(A3)	See the NASA/IPAC details for this galaxy	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	LEDA	(A4)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	A	Name	RAJ2000	DEJ2000	amaj	PA	ell	[3.6]	e_[3.6]	[4.5]	e_[4.5]	c31	c42	M3.6	M4.5	logM*	Dmean	e_Dmean	TT	e_TT	Vr	e_Vr	S4G	Simbad	NED	LEDA
     698	 	IC1986    	055.14687	-45.35605	 38.9	 -84.7	 0.311	15.119	 0.002	15.751	 0.002	 3.405	 3.343	-16.133	-15.501	 8.731	 17.800	      	 8.8	 1.5	 1549.7	 4.7	S4G	Simbad	NED	LEDA
     699	 	IC1993    	056.77017	-33.70998	 99.4	 -17.3	 0.159	11.609	 0.002	12.059	 0.003	 2.481	 2.499	-18.788	-18.337	 9.658	       	      	 3.0	 0.6	 1078.5	 6.5	S4G	Simbad	NED	LEDA
     700	 	IC2000    	057.28188	-48.85821	150.3	  83.3	 0.788	12.177	 0.001	12.592	 0.001	 2.759	 2.761	-19.337	-18.922	 9.852	 20.080	 6.503	 6.2	 0.8	  980.2	 4.9	S4G	Simbad	NED	LEDA
     701	A	IC2006    	058.61856	-35.96710	 89.4	  31.3	 0.127	11.164	 0.002	11.646	 0.003	 4.805	 4.203	-20.262	-19.780	10.271	 19.278	 1.647	-4.2	 0.9	 1384.0	 8.7	S4G	Simbad	NED	LEDA
     702	 	IC2007    	058.84505	-28.15772	 48.8	  52.8	 0.410	12.968	 0.001	13.345	 0.001	 2.932	 2.924	-18.793	-18.416	 9.606	 22.500	 0.497	 3.7	 1.4	 1523.6	 6.4	S4G	Simbad	NED	LEDA
     703	 	IC2032    	061.76302	-55.32213	 35.4	  66.5	 0.217	15.135	 0.002	15.518	 0.027	 2.648	 2.668	-15.501	-15.117	 8.294	 13.400	      	 9.9	 0.6	 1066.7	 5.6	S4G	Simbad	NED	LEDA
     704	A	IC2035    	062.25765	-45.51759	 44.1	 -83.1	 0.126	11.564	 0.001	12.045	 0.001	 4.576	 3.885	-19.523	-19.043	 9.975	 16.500	      	-2.6	 1.2	       	    	S4G	Simbad	NED	LEDA
     705	 	IC2040    	063.24887	-32.55340	 49.4	  63.8	 0.333	13.134	 0.003	13.534	 0.001	 2.876	 2.875	-17.840	-17.440	 9.242	       	      	-0.8	 3.0	 1326.0	 7.9	S4G	Simbad	NED	LEDA
     706	 	IC2051    	058.00331	-83.83074	105.8	  71.8	 0.398	10.755	 0.001	11.180	 0.001	 3.068	 3.233	-21.136	-20.711	10.578	 23.890	 3.229	 4.1	 1.0	 1727.5	 9.2	S4G	Simbad	NED	LEDA
     707	 	IC2056    	064.10196	-60.20680	 60.3	  16.3	 0.123	11.573	 0.001	11.964	 0.001	 2.585	 2.643	-19.985	-19.595	10.093	 20.500	 6.284	 3.8	 1.7	 1133.0	 7.6	S4G	Simbad	NED	LEDA
     708	 	IC2058    	064.47612	-55.93302	111.3	  18.0	 0.833	13.167	 0.002	13.557	 0.001	 2.824	 2.817	-18.497	-18.107	 9.497	 21.524	 3.701	 6.5	 0.9	 1378.7	 6.1	S4G	Simbad	NED	LEDA
     709	 	IC2085    	067.85097	-54.41689	 78.4	 -66.3	 0.725	13.036	 0.001	13.451	 0.002	 3.851	 3.545	-17.899	-17.484	 9.277	 15.383	 3.163	-1.2	 2.0	       	    	S4G	Simbad	NED	LEDA
     710	 	IC2135    	083.30535	-36.39927	109.8	 -72.3	 0.699	11.874	 0.001	12.261	 0.001	 3.320	 3.237	-20.133	-19.747	10.149	 25.210	11.907	 5.9	 0.5	 1321.8	 5.0	S4G	Simbad	NED	LEDA
     711	 	IC2233    	123.49515	+45.74313	139.9	  -7.4	 0.837	13.298	 0.001	13.674	 0.001	 3.081	 3.062	-17.317	-16.942	 9.015	 13.275	 1.401	 6.5	 0.8	  557.3	 3.2	S4G	Simbad	NED	LEDA
     712	 	IC2361    	126.43540	+27.87448	 54.6	  76.0	 0.650	13.553	 0.001	13.974	 0.001	 2.799	 2.836	-18.863	-18.441	 9.667	       	      	 2.0	 1.0	 2087.9	 5.9	S4G	Simbad	NED	LEDA
     713	 	IC2389    	131.99188	+73.53889	 58.1	 -42.2	 0.669	13.711	 0.002	14.103	 0.001	 3.613	 3.439	-18.819	-18.427	 9.628	 32.067	 5.886	 3.0	 0.3	 2379.2	 6.9	S4G	Simbad	NED	LEDA
     714	 	IC2461    	139.99153	+37.19107	 64.3	 -42.0	 0.622	12.462	 0.001	12.790	 0.001	 4.262	 3.858	-21.207	-20.879	10.535	 54.180	11.113	 3.3	 0.7	 2263.3	 6.1	S4G	Simbad	NED	LEDA
     715	 	IC2574    	157.09833	+68.41214	429.9	  48.3	 0.633	10.923	 0.001	10.720	 0.003	 2.437	 2.464	-16.991	-17.194	 8.456	  3.827	 0.624	 8.9	 0.3	   46.2	 3.2	S4G	Simbad	NED	LEDA
     716	 	IC2604    	162.35445	+32.77266	 40.3	  36.2	 0.256	14.450	 0.006	14.950	 0.001	 2.886	 2.905	-17.541	-17.040	 9.197	       	      	 9.1	 0.9	 1634.1	 5.7	S4G	Simbad	NED	LEDA
     717	 	PGC045877 	198.14758	-17.54243	 93.9	 -53.3	 0.586	11.326	 0.001	11.692	 0.001	 3.214	 3.204	-21.419	-21.053	10.648	 35.400	 4.205	 4.9	 0.6	 2756.7	 4.5	S4G	Simbad	NED	LEDA
     718	 	PGC045958 	198.39315	-15.43181	     	      	      	      	      	      	      	      	      	       	       	      	 36.400	      	 8.0	 0.5	 2502.5	 4.2	S4G	Simbad	NED	LEDA
     719	 	PGC046261 	199.27560	-16.25218	 79.8	 -10.0	 0.796	13.305	 0.003	13.748	 0.001	 2.308	 2.236	-20.041	-19.598	10.154	 46.680	 5.161	 5.2	 0.7	 2630.8	 5.4	S4G	Simbad	NED	LEDA
     720	 	PGC046382 	199.67084	-08.44598	 59.1	 -59.0	 0.223	14.184	 0.009	14.627	 0.004	 2.382	 2.403	-17.653	-17.210	 9.199	 23.300	      	 9.9	 0.7	 1304.3	 4.1	S4G	Simbad	NED	LEDA
     721	 	PGC047721 	203.30800	-16.12138	 84.1	 -56.6	 0.452	11.913	 0.002	12.363	 0.002	 4.600	 4.142	-20.482	-20.032	10.336	       	      	 4.0	 1.5	 2169.0	 8.8	S4G	Simbad	NED	LEDA
     722	 	PGC047846 	203.66602	-12.32986	 59.1	 -37.8	 0.123	14.268	 0.042	15.478	 0.004	 2.791	 2.776	-17.351	-16.141	 9.646	       	      	 8.9	 0.5	 1506.8	 6.8	S4G	Simbad	NED	LEDA
     723	 	PGC048087 	204.27032	-11.82985	 62.2	  -5.4	 0.130	13.692	 0.002	14.136	 0.006	 2.910	 2.906	-19.119	-18.676	 9.786	 36.500	      	 8.0	 0.5	 2470.3	 6.7	S4G	Simbad	NED	LEDA
     724	 	PGC048179 	204.54320	-09.80233	 77.1	  23.5	 0.061	12.447	 0.001	12.856	 0.002	 2.548	 2.594	-19.333	-18.924	 9.846	 22.700	      	 8.9	 0.5	 1299.0	 5.6	S4G	Simbad	NED	LEDA
     725	 	PGC049521 	208.93955	-06.00199	 45.2	 -28.0	 0.530	15.159	 0.002	15.542	 0.028	 2.607	 2.620	-17.107	-16.724	 8.936	       	      	 8.0	 0.5	 1985.0	 8.5	S4G	Simbad	NED	LEDA
     726	 	PGC050229 	211.29684	-03.36981	 64.3	 -26.8	 0.352	13.425	 0.001	13.861	 0.002	 5.914	 4.702	-18.426	-17.989	 9.504	       	      	 1.1	 1.1	 1621.6	 4.8	S4G	Simbad	NED	LEDA
     727	 	PGC051291 	215.34270	-03.75880	 38.4	 -58.9	 0.425	14.854	 0.017	15.214	 0.001	 3.507	 3.360	-18.112	-17.752	 9.321	       	      	 2.0	 2.0	 2737.7	 6.5	S4G	Simbad	NED	LEDA
     728	 	PGC051523 	216.43910	-05.40181	 48.0	 -75.7	 0.470	14.039	 0.024	14.414	 0.010	 3.069	 3.018	-17.909	-17.534	 9.251	       	      	 9.0	 2.0	 1701.7	 6.6	S4G	Simbad	NED	LEDA
     729	 	PGC052336 	219.68970	+51.31825	     	      	      	      	      	      	      	      	      	       	       	      	       	      	    	    	 2147.0	 7.9	S4G	Simbad	NED	LEDA
     730	 	PGC052460 	220.27676	-08.87512	 45.3	 -24.0	 0.331	13.562	 0.001	13.946	 0.001	 3.085	 3.055	-18.589	-18.205	 9.530	       	      	 1.4	 1.3	 1882.0	10.9	S4G	Simbad	NED	LEDA
     731	 	PGC052809 	221.85073	-17.44557	118.4	  -9.9	 0.760	12.026	 0.001	12.361	 0.001	 3.927	 3.691	-19.950	-19.615	10.038	 24.844	 3.943	 5.8	 0.5	 2196.3	 3.8	S4G	Simbad	NED	LEDA
     732	 	PGC052853 	221.98399	-14.28271	 68.3	 -58.7	 0.204	13.288	 0.001	13.705	 0.001	 2.944	 3.019	-19.417	-19.000	 9.885	 34.750	 0.495	 6.0	 0.5	 2044.6	 3.4	S4G	Simbad	NED	LEDA
     733	 	PGC052935 	222.38730	-10.16417	 92.0	 -42.5	 0.653	14.269	 0.031	14.744	 0.006	 2.763	 2.808	-17.829	-17.353	 9.293	       	      	 6.3	 4.2	 1845.3	 6.3	S4G	Simbad	NED	LEDA
     734	 	PGC052940 	222.37767	-10.17593	 78.0	 -27.0	 0.509	13.678	 0.025	14.144	 0.001	 3.233	 3.267	-18.619	-18.153	 9.602	 28.800	      	 9.9	 0.6	 1846.8	 6.2	S4G	Simbad	NED	LEDA
     735	 	PGC053093 	223.04339	-10.74029	 52.0	 -72.5	 0.387	12.624	 0.001	13.039	 0.002	 3.146	 3.239	-20.308	-19.893	10.240	 38.575	 1.330	 2.9	 0.5	 2577.5	 7.0	S4G	Simbad	NED	LEDA
     736	 	PGC053134 	223.14481	-03.56145	 77.3	  70.1	 0.302	13.616	 0.004	14.027	 0.005	 4.127	 3.785	-18.820	-18.409	 9.642	 30.700	      	 8.0	 0.5	 1952.1	 3.9	S4G	Simbad	NED	LEDA
     737	 	PGC053415 	224.16101	-16.48784	 50.4	  49.1	 0.527	13.034	 0.002	13.424	 0.002	 2.605	 2.662	-19.590	-19.200	 9.935	       	      	 0.7	 2.0	 2320.4	 7.7	S4G	Simbad	NED	LEDA
     738	 	PGC053568 	224.92036	-06.99038	 56.8	  83.2	 0.660	15.118	 0.008	15.454	 0.007	 3.020	 2.944	-17.271	-16.935	 8.967	       	      	 8.0	 0.5	 2095.4	 4.8	S4G	Simbad	NED	LEDA
     739	 	PGC053634 	225.25042	-15.12170	 74.1	 -51.0	 0.756	14.708	 0.001	15.128	 0.002	 3.228	 3.156	-17.966	-17.545	 9.307	 34.250	 1.626	 7.0	 0.5	 2928.2	 4.5	S4G	Simbad	NED	LEDA
     740	 	PGC053724 	225.75089	-13.28266	 65.6	 -30.3	 0.446	12.299	 0.002	12.762	 0.003	 4.955	 4.492	-19.615	-19.152	 9.999	 24.150	 6.954	 0.7	 0.9	 2507.8	 5.8	S4G	Simbad	NED	LEDA
     741	 	PGC053764 	226.01199	-10.73791	 51.2	  24.1	 0.761	14.864	 0.002	15.260	 0.004	 2.754	 2.782	-17.835	-17.439	 9.237	       	      	 5.5	 1.6	 2440.0	 8.5	S4G	Simbad	NED	LEDA
     742	 	PGC053779 	226.05661	-07.22278	 69.5	 -84.2	 0.347	13.195	 0.006	13.556	 0.015	 2.931	 3.034	-18.935	-18.574	 9.651	       	      	 3.0	 0.5	 1855.0	 8.5	S4G	Simbad	NED	LEDA
     743	 	PGC053796 	226.11329	-14.43983	 66.6	 -14.1	 0.800	14.685	 0.001	15.116	 0.002	 3.013	 2.985	-18.243	-17.811	 9.426	 38.500	 0.000	 6.2	 0.6	 2930.2	 4.8	S4G	Simbad	NED	LEDA
     744	 	PGC054817 	230.38838	-07.44796	143.4	   7.3	 0.859	13.365	 0.006	13.804	 0.022	 4.703	 4.266	-18.872	-18.433	 9.684	 28.012	 3.934	-1.9	 0.5	 1937.0	 5.5	S4G	Simbad	NED	LEDA
     745	 	PGC054944 	230.83394	-04.15163	 57.6	  21.1	 0.327	12.637	 0.001	13.020	 0.002	 2.577	 2.648	-19.702	-19.320	 9.974	 29.367	 0.758	 1.8	 1.8	 1999.0	 8.5	S4G	Simbad	NED	LEDA
     746	 	UGC09751  	227.74351	+01.43783	 44.8	 -62.9	 0.799	15.925	 0.003	16.402	 0.003	 2.761	 2.834	-15.886	-15.409	 8.517	       	      	 6.0	 0.6	 1552.0	10.0	S4G	Simbad	NED	LEDA
     747	 	NGC5950   	232.87815	+40.43010	 55.5	  44.0	 0.459	13.375	 0.001	13.782	 0.002	 3.245	 3.175	-19.546	-19.138	 9.930	 38.375	 1.328	 3.1	 0.6	 2597.0	 8.5	S4G	Simbad	NED	LEDA
     748	 	NGC5951   	233.42929	+15.00724	104.7	   2.5	 0.742	12.684	 0.001	13.089	 0.001	 2.868	 2.890	-19.540	-19.134	 9.926	 27.836	 3.857	 5.2	 0.5	 1779.3	 2.9	S4G	Simbad	NED	LEDA
     749	 	NGC5953   	233.63488	+15.19383	 67.2	  -0.9	 0.079	11.542	 0.001	11.934	 0.004	 3.566	 3.720	-20.620	-20.228	10.348	 27.060	 4.802	 0.0	 1.6	 1965.4	 4.6	S4G	Simbad	NED	LEDA
     750	 	NGC5954   	233.64594	+15.20013	 54.2	 -36.1	 0.294	12.340	 0.001	12.731	 0.002	 3.476	 3.360	-20.192	-19.801	10.176	 32.100	      	 6.0	 0.4	 1968.4	 3.8	S4G	Simbad	NED	LEDA
     751	 	NGC5956   	233.74387	+11.75028	 51.1	 -17.3	 0.053	12.426	 0.001	12.878	 0.001	 4.878	 4.194	-19.862	-19.410	10.089	       	      	 5.9	 0.5	 1901.4	 3.1	S4G	Simbad	NED	LEDA
     752	 	NGC5957   	233.84675	+12.04762	 90.0	   6.5	 0.121	11.907	 0.001	12.356	 0.001	 3.310	 3.435	-20.294	-19.846	10.260	       	      	 3.0	 0.4	 1827.1	 2.9	S4G	Simbad	NED	LEDA
     753	 	NGC5958   	233.70474	+28.65525	 58.5	  41.5	 0.172	12.683	 0.001	13.137	 0.001	 2.662	 2.752	-19.786	-19.332	10.060	       	      	 4.7	 1.0	 2021.0	 8.5	S4G	Simbad	NED	LEDA
     754	 	NGC5962   	234.13201	+16.60778	109.0	 -73.3	 0.339	10.870	 0.001	11.267	 0.001	 3.716	 3.648	-21.790	-21.394	10.820	 34.050	 4.156	 5.1	 0.7	 1957.8	 2.9	S4G	Simbad	NED	LEDA
     755	 	NGC5963   	233.36606	+56.55961	 74.9	  45.4	 0.270	12.248	 0.001	12.694	 0.019	 3.041	 3.319	-19.891	-19.445	10.096	 26.775	 8.318	 4.1	 1.4	  655.3	 4.4	S4G	Simbad	NED	LEDA
     756	 	NGC5964   	234.40074	+05.97425	140.6	 -32.3	 0.275	11.846	 0.001	12.309	 0.003	 3.010	 2.994	-20.275	-19.813	10.262	 26.567	 1.629	 6.9	 0.5	 1447.1	 2.6	S4G	Simbad	NED	LEDA
     757	 	NGC5970   	234.62481	+12.18659	 94.2	  85.7	 0.351	11.256	 0.001	11.661	 0.001	 3.388	 3.365	-21.188	-20.782	10.585	 30.811	 2.628	 5.0	 0.6	 1957.0	 3.6	S4G	Simbad	NED	LEDA
     758	 	NGC5981   	234.47303	+59.39193	 91.0	 -41.7	 0.731	11.846	 0.001	12.313	 0.001	 2.897	 2.911	-20.481	-20.014	10.348	 29.200	      	 4.2	 0.5	 2527.0	 5.5	S4G	Simbad	NED	LEDA
     759	 	NGC5984   	235.72157	+14.23145	 90.9	 -36.0	 0.655	12.525	 0.001	12.934	 0.001	 2.792	 2.862	-18.977	-18.568	 9.703	 19.969	 3.011	 6.4	 0.8	 1105.9	 3.6	S4G	Simbad	NED	LEDA
     760	 	NGC5985   	234.90445	+59.33208	158.1	  14.6	 0.491	10.765	 0.001	11.249	 0.001	 2.590	 2.642	-22.364	-21.880	11.114	 42.257	 4.753	 3.0	 0.3	 2519.1	 3.6	S4G	Simbad	NED	LEDA
     761	 	NGC6010   	238.57986	+00.54306	 77.8	 -76.4	 0.567	11.567	 0.001	12.058	 0.001	 5.020	 4.377	-20.105	-19.615	10.215	 21.600	 0.566	 0.5	 0.6	 2037.4	 7.1	S4G	Simbad	NED	LEDA
     762	 	NGC6012   	238.55797	+14.60120	 91.8	  27.0	 0.118	11.871	 0.001	12.271	 0.001	 2.945	 2.956	-19.826	-19.426	10.036	 21.850	 2.983	 1.7	 0.8	 1853.9	 3.6	S4G	Simbad	NED	LEDA
     763	 	NGC6014   	238.98924	+05.93194	 67.1	 -35.9	 0.194	12.346	 0.001	12.790	 0.001	 5.021	 4.395	-20.471	-20.027	10.327	       	      	-1.8	 1.0	 2491.0	13.0	S4G	Simbad	NED	LEDA
     764	 	NGC6015   	237.85512	+62.31005	171.9	  28.2	 0.572	10.930	 0.001	11.309	 0.001	 2.571	 2.603	-20.191	-19.811	10.168	 16.756	 1.626	 5.9	 0.3	  832.5	 2.8	S4G	Simbad	NED	LEDA
     765	 	NGC6063   	241.80418	+07.97901	 56.7	 -27.7	 0.454	13.041	 0.001	13.460	 0.001	 2.446	 2.435	-20.280	-19.861	10.232	 46.171	 7.662	 5.9	 0.4	 2847.5	 4.1	S4G	Simbad	NED	LEDA
     766	 	NGC6070   	242.49455	+00.70931	135.7	  60.0	 0.559	10.936	 0.001	11.337	 0.001	 2.694	 2.749	-21.545	-21.144	10.725	 31.344	 3.344	 6.0	 0.3	 2006.7	 4.1	S4G	Simbad	NED	LEDA
     767	 	NGC6106   	244.69661	+07.41089	 80.3	 -39.2	 0.455	12.120	 0.001	12.532	 0.001	 3.036	 3.014	-19.836	-19.424	10.050	 24.618	 2.841	 5.3	 0.5	 1451.2	 3.1	S4G	Simbad	NED	LEDA
     768	 	NGC6118   	245.45257	-02.28343	170.1	  53.7	 0.599	10.801	 0.001	11.221	 0.001	 2.385	 2.420	-21.043	-20.623	10.538	 23.372	 1.996	 6.0	 0.3	 1571.2	 2.7	S4G	Simbad	NED	LEDA
     769	 	NGC6140   	245.24185	+65.39065	109.6	 -85.0	 0.144	12.024	 0.002	12.450	 0.001	 3.287	 3.205	-19.323	-18.898	 9.854	 18.600	      	 5.6	 0.6	  908.3	 3.7	S4G	Simbad	NED	LEDA
     770	 	NGC6155   	246.53471	+48.36681	 52.3	 -41.7	 0.205	12.415	 0.001	12.800	 0.001	 2.601	 2.693	-20.470	-20.085	10.283	       	      	 5.2	 1.5	 2415.0	 8.5	S4G	Simbad	NED	LEDA
     771	 	UGC09071  	212.51280	+54.21838	 60.9	  35.2	 0.703	14.260	 0.001	14.688	 0.002	 2.596	 2.673	-18.354	-17.926	 9.469	 33.333	 2.196	 5.9	 0.5	 1826.8	 5.0	S4G	Simbad	NED	LEDA
     772	 	UGC09126  	213.91935	+16.54890	 41.1	  -7.4	 0.262	15.270	 0.017	16.020	 0.063	 2.931	 2.983	-17.511	-16.762	 9.369	 36.000	      	 9.8	 0.5	 2271.8	 4.4	S4G	Simbad	NED	LEDA
     773	 	UGC09128  	213.98580	+23.05480	 47.7	  57.3	 0.421	15.224	 0.060	15.395	 0.016	 1.935	 1.764	-12.567	-12.396	 6.964	  3.616	 1.983	 9.9	 0.4	  152.4	 2.5	S4G	Simbad	NED	LEDA
     774	 	UGC09169  	214.93545	+09.36220	136.5	  54.5	 0.810	13.768	 0.001	14.244	 0.001	 3.065	 3.029	-16.758	-16.283	 8.865	 12.743	 6.080	 9.6	 1.1	 1280.2	 5.2	S4G	Simbad	NED	LEDA
     775	 	UGC09206  	215.61420	+15.08602	 43.7	 -12.3	 0.465	14.072	 0.001	14.450	 0.001	 2.745	 2.776	-18.590	-18.212	 9.525	       	      	 3.8	 2.2	 2284.0	 6.1	S4G	Simbad	NED	LEDA
     776	 	PGC041743 	188.47962	-10.67977	 57.9	 -87.1	 0.459	14.568	 0.001	15.045	 0.008	 2.794	 2.783	-16.233	-15.756	 8.656	       	      	 9.0	 0.5	 1052.0	 9.4	S4G	Simbad	NED	LEDA
     777	 	NGC0899   	035.47107	-20.82380	 60.2	 -78.8	 0.250	12.818	 0.005	13.207	 0.004	 3.308	 3.207	-18.518	-18.129	 9.505	 18.500	      	 9.9	 0.3	 1564.6	 6.5	S4G	Simbad	NED	LEDA
     778	 	NGC0907   	035.76102	-20.71175	 78.9	  87.3	 0.633	12.345	 0.001	12.729	 0.001	 2.640	 2.615	-19.219	-18.835	 9.782	 20.550	 1.054	 7.6	 1.0	 1663.4	 9.0	S4G	Simbad	NED	LEDA
     779	 	NGC0908   	035.76885	-21.23382	191.2	  77.0	 0.474	 9.784	 0.001	10.155	 0.001	 2.627	 2.693	-21.446	-21.074	10.663	 17.615	 1.789	 5.1	 0.4	 1507.1	 3.6	S4G	Simbad	NED	LEDA
     780	 	NGC0918   	036.46166	+18.49632	125.7	 -22.6	 0.421	11.323	 0.001	11.744	 0.001	 2.453	 2.438	-19.969	-19.548	10.109	 18.131	 1.686	 5.2	 0.7	 1508.6	 3.2	S4G	Simbad	NED	LEDA
     781	 	NGC0936   	036.90597	-01.15595	176.1	 -54.7	 0.249	 9.679	 0.001	10.161	 0.001	 5.667	 4.627	-21.899	-21.417	10.926	 20.683	 3.059	-1.2	 0.6	 1340.0	 5.5	S4G	Simbad	NED	LEDA
     782	 	NGC0941   	037.11608	-01.15148	 81.6	 -15.6	 0.268	12.691	 0.001	13.091	 0.001	 3.038	 3.013	-19.492	-19.093	 9.903	 27.340	 6.227	 5.3	 0.6	 1606.8	 4.7	S4G	Simbad	NED	LEDA
     783	 	NGC0955   	037.63804	-01.10842	 93.4	  18.6	 0.594	11.418	 0.001	11.880	 0.001	 3.693	 3.566	-20.397	-19.936	10.311	 23.075	 2.496	 2.0	 0.3	 1485.0	 6.0	S4G	Simbad	NED	LEDA
     784	 	NGC0986   	038.39309	-39.04500	137.6	 -65.3	 0.104	10.300	 0.001	10.683	 0.001	 6.200	 4.950	-20.871	-20.489	10.441	 17.150	 8.556	 2.4	 0.6	 1975.3	 5.3	S4G	Simbad	NED	LEDA
     785	 	NGC0986A  	038.17476	-39.29515	 57.4	  75.3	 0.603	14.771	 0.004	15.128	 0.007	 2.280	 2.280	-16.368	-16.011	 8.621	       	      	 9.9	 0.5	 1434.5	 6.3	S4G	Simbad	NED	LEDA
     786	 	NGC0988   	038.86596	-09.35637	156.2	 -64.4	 0.601	11.461	 0.001	11.842	 0.002	 2.892	 2.859	-19.710	-19.330	 9.976	 17.150	 1.626	 5.9	 0.5	 1505.8	 3.7	S4G	Simbad	NED	LEDA
     787	 	NGC0991   	038.88612	-07.15433	 84.7	 -29.5	 0.072	12.399	 0.001	12.780	 0.001	 2.639	 2.695	-18.971	-18.591	 9.680	 18.800	      	 5.0	 0.5	 1532.8	 4.2	S4G	Simbad	NED	LEDA
     788	 	NGC1015   	039.54810	-01.31877	 84.5	  -8.3	 0.092	11.977	 0.001	12.428	 0.001	 6.617	 4.850	-20.622	-20.171	10.392	 33.100	      	 1.0	 0.4	 2628.4	 6.7	S4G	Simbad	NED	LEDA
     789	 	NGC1022   	039.63627	-06.67742	105.3	  37.5	 0.105	10.987	 0.001	11.306	 0.001	 8.966	 5.676	-20.349	-20.030	10.186	 18.500	      	 1.1	 0.4	 1453.0	 8.5	S4G	Simbad	NED	LEDA
     790	 	NGC1032   	039.84848	+01.09381	168.1	  67.1	 0.646	10.999	 0.001	11.488	 0.001	 4.938	 4.325	-21.871	-21.383	10.920	       	      	 0.4	 0.6	 2725.0	 7.9	S4G	Simbad	NED	LEDA
