Object,Source catalog,ICRS coordinates,Galaxy age,Redshift (z) / Distance,Morphological type,Angular size,Radial velocity,Physical size,Magnitude,Interest score,Distance method,Data source
PGC 2180324,HECATE v1.1 via VizieR,116.930263 41.386355,EST 9.7 billion years — object-specific early-spiral stellar-population model; not a direct measurement,14.08000000 / 398.14 million ly,Early spiral / S0-a; de Vaucouleurs T=1.0,0.273 × 0.273 arcmin,"8,569.1 km/s",DERIVED 31.6 × 31.6 thousand ly,16.030 — catalog band requires verification,63.062 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 33732,HECATE v1.1 via VizieR,167.061228 28.414349,EST 9.1 billion years — object-specific spiral stellar-population model; not a direct measurement,15.07300000 / 452.77 million ly,Sbc–Sc spiral; de Vaucouleurs T=5.0,0.286 × 0.229 arcmin,"9,770.7 km/s",DERIVED 37.7 × 30.2 thousand ly,16.124 — catalog band requires verification,63.020 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 213697,HECATE v1.1 via VizieR,156.396698 39.673546,EST 9.7 billion years — object-specific spiral stellar-population model; not a direct measurement,14.77000000 / 335.44 million ly,Sbc–Sc spiral; de Vaucouleurs T=5.0,0.249 × 0.180 arcmin,"6,972.9 km/s",DERIVED 24.3 × 17.6 thousand ly,16.071 — catalog band requires verification,62.925 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 166861,HECATE v1.1 via VizieR,55.813350 68.261101,EST 9.2 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 72.83 million ly,Not available,1.099 × 1.099 arcmin,"1,320.0 km/s",DERIVED 23.3 × 23.3 thousand ly,17.700 — catalog band requires verification,60.696 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1788443,HECATE v1.1 via VizieR,161.653399 26.789704,EST 10.5 billion years — object-specific early-spiral stellar-population model; not a direct measurement,14.79600000 / 484.65 million ly,Sa–Sb spiral; de Vaucouleurs T=1.9,0.243 × 0.143 arcmin,"11,595.5 km/s",DERIVED 34.3 × 20.2 thousand ly,16.665 — catalog band requires verification,62.307 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2083168,HECATE v1.1 via VizieR,34.163770 36.583415,EST 8.9 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 369.89 million ly,Not available,0.204 × 0.085 arcmin,"8,013.5 km/s",DERIVED 21.9 × 9.1 thousand ly,17.270 — catalog band requires verification,57.546 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1621583,HECATE v1.1 via VizieR,154.236036 20.253959,EST 9.4 billion years — object-specific spiral stellar-population model; not a direct measurement,15.50000000 / 525.15 million ly,Scd–Sd spiral; de Vaucouleurs T=5.8,0.246 × 0.169 arcmin,"11,599.9 km/s",DERIVED 37.6 × 25.8 thousand ly,16.537 — catalog band requires verification,62.447 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1890944,HECATE v1.1 via VizieR,61.321167 30.117417,EST 9.6 billion years — object-specific spiral stellar-population model; not a direct measurement,Not available / 251.60 million ly,Sbc–Sc spiral; de Vaucouleurs T=5.0,0.416 × 0.245 arcmin,"5,562.0 km/s",DERIVED 30.4 × 17.9 thousand ly,16.050 — catalog band requires verification,61.614 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1613622,HECATE v1.1 via VizieR,134.460510 20.019206,EST 9.1 billion years — object-specific spiral stellar-population model; not a direct measurement,16.41300000 / 428.37 million ly,Sbc–Sc spiral; de Vaucouleurs T=4.3,0.191 × 0.073 arcmin,"9,370.5 km/s",DERIVED 23.8 × 9.1 thousand ly,17.581 — catalog band requires verification,61.183 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3399285,HECATE v1.1 via VizieR,131.948062 38.215397,EST 9.1 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 554.14 million ly,Not available,0.031 × 0.031 arcmin,"12,269.0 km/s",DERIVED 5.0 × 5.0 thousand ly,Not available,54.124 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1996530,HECATE v1.1 via VizieR,128.593753 32.430730,EST 11.7 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,15.47900000 / 367.45 million ly,Elliptical; de Vaucouleurs T=-5.0,0.155 × 0.117 arcmin,"7,984.8 km/s",DERIVED 16.6 × 12.5 thousand ly,17.107 — catalog band requires verification,61.513 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 4199466,HECATE v1.1 via VizieR,141.108372 24.276990,EST 9.1 billion years — object-specific general galaxy stellar-population model; not a direct measurement,17.60100000 / 349.70 million ly,Not available,0.088 × 0.054 arcmin,"7,582.0 km/s",DERIVED 9.0 × 5.5 thousand ly,19.820 — catalog band requires verification,58.352 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 23227,HECATE v1.1 via VizieR,124.309731 12.991160,EST 9.7 billion years — object-specific early-spiral stellar-population model; not a direct measurement,13.90900000 / 440.66 million ly,Early spiral / S0-a; de Vaucouleurs T=1.0,0.435 × 0.151 arcmin,"9,682.2 km/s",DERIVED 55.8 × 19.4 thousand ly,15.333 — catalog band requires verification,64.407 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 5059791,HECATE v1.1 via VizieR,151.180833 24.592778,EST 8.9 billion years — object-specific general galaxy stellar-population model; not a direct measurement,16.97200000 / 70.28 million ly,Not available,Not available,"1,393.0 km/s",Not available,Not available,54.000 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 32563,HECATE v1.1 via VizieR,162.881700 35.871197,EST 9.3 billion years — object-specific spiral stellar-population model; not a direct measurement,14.40300000 / 343.30 million ly,Sbc–Sc spiral; de Vaucouleurs T=4.8,0.329 × 0.111 arcmin,"7,251.5 km/s",DERIVED 32.9 × 11.1 thousand ly,16.108 — catalog band requires verification,63.208 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3400755,HECATE v1.1 via VizieR,171.146802 52.011102,EST 8.8 billion years — object-specific spiral stellar-population model; not a direct measurement,16.98900000 / 465.57 million ly,Sbc–Sc spiral; de Vaucouleurs T=5.0,0.107 × 0.091 arcmin,"9,978.9 km/s",DERIVED 14.5 × 12.3 thousand ly,18.331 — catalog band requires verification,60.428 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 4190822,HECATE v1.1 via VizieR,137.264385 22.937027,EST 8.9 billion years — object-specific spiral stellar-population model; not a direct measurement,16.84100000 / 502.43 million ly,Sbc–Sc spiral; de Vaucouleurs T=5.0,0.220 × 0.052 arcmin,"11,073.2 km/s",DERIVED 32.2 × 7.6 thousand ly,18.630 — catalog band requires verification,60.880 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2369301,HECATE v1.1 via VizieR,117.738447 50.313804,EST 10.8 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,15.83000000 / 342.14 million ly,Lenticular / S0; de Vaucouleurs T=-2.4,0.262 × 0.107 arcmin,"7,216.8 km/s",DERIVED 26.1 × 10.6 thousand ly,17.300 — catalog band requires verification,61.748 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 8355,HECATE v1.1 via VizieR,32.761313 17.199534,EST 9.2 billion years — object-specific spiral stellar-population model; not a direct measurement,14.97600000 / 155.79 million ly,Scd–Sd spiral; de Vaucouleurs T=5.6,0.333 × 0.143 arcmin,"4,312.5 km/s",DERIVED 15.1 × 6.5 thousand ly,15.667 — catalog band requires verification,63.665 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2227971,HECATE v1.1 via VizieR,128.733569 43.739176,EST 7.8 billion years — object-specific late-type stellar-population model; not a direct measurement,16.82400000 / 367.38 million ly,Sm / Magellanic spiral; de Vaucouleurs T=8.5,0.186 × 0.138 arcmin,"7,928.0 km/s",DERIVED 19.9 × 14.7 thousand ly,17.472 — catalog band requires verification,61.272 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3603664,HECATE v1.1 via VizieR,12.378761 38.658452,EST 9.9 billion years — object-specific general galaxy stellar-population model; not a direct measurement,14.67600000 / 339.55 million ly,Not available,0.192 × 0.142 arcmin,"7,128.9 km/s",DERIVED 19.0 × 14.0 thousand ly,Not available,56.768 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 143005,HECATE v1.1 via VizieR,69.335126 35.573500,EST 9.6 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 258.68 million ly,Not available,0.158 × 0.093 arcmin,"5,664.2 km/s",DERIVED 11.9 × 7.0 thousand ly,18.720 — catalog band requires verification,56.632 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 25970,HECATE v1.1 via VizieR,138.215562 31.680961,EST 7.3 billion years — object-specific late-type stellar-population model; not a direct measurement,17.09700000 / 92.48 million ly,Irregular; de Vaucouleurs T=10.0,0.186 × 0.090 arcmin,"1,904.0 km/s",DERIVED 5.0 × 2.4 thousand ly,17.471 — catalog band requires verification,61.273 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2129266,HECATE v1.1 via VizieR,119.490063 38.515917,EST 10.5 billion years — object-specific early-spiral stellar-population model; not a direct measurement,15.13000000 / 554.25 million ly,Sa–Sb spiral; de Vaucouleurs T=2.1,0.218 × 0.092 arcmin,"12,288.1 km/s",DERIVED 35.1 × 14.8 thousand ly,16.989 — catalog band requires verification,61.883 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3526330,HECATE v1.1 via VizieR,133.156998 9.140180,EST 11.9 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,16.06200000 / 401.42 million ly,Elliptical; de Vaucouleurs T=-5.0,0.197 × 0.117 arcmin,"8,789.8 km/s",DERIVED 23.0 × 13.7 thousand ly,16.896 — catalog band requires verification,61.892 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 4250198,HECATE v1.1 via VizieR,161.170551 25.898895,EST 11.8 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,16.37000000 / 303.27 million ly,Elliptical; de Vaucouleurs T=-5.0,0.114 × 0.114 arcmin,"6,338.6 km/s",DERIVED 10.1 × 10.1 thousand ly,17.922 — catalog band requires verification,60.534 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1733658,HECATE v1.1 via VizieR,120.102521 25.355527,EST 7.4 billion years — object-specific late-type stellar-population model; not a direct measurement,15.58300000 / 162.97 million ly,Sm / Magellanic spiral; de Vaucouleurs T=9.0,0.166 × 0.120 arcmin,"3,535.1 km/s",DERIVED 7.9 × 5.7 thousand ly,16.576 — catalog band requires verification,62.088 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 4020025,HECATE v1.1 via VizieR,28.337642 36.254676,EST 9.1 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 199.04 million ly,Not available,Not available,"4,246.0 km/s",Not available,Not available,52.000 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 13073,HECATE v1.1 via VizieR,52.826459 35.466306,EST 9.3 billion years — object-specific spiral stellar-population model; not a direct measurement,Not available / 192.94 million ly,Sbc–Sc spiral; de Vaucouleurs T=3.1,0.551 × 0.340 arcmin,"4,485.5 km/s",DERIVED 30.9 × 19.1 thousand ly,15.185 — catalog band requires verification,63.019 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1886835,HECATE v1.1 via VizieR,138.173303 30.014965,EST 9.7 billion years — object-specific early-spiral stellar-population model; not a direct measurement,15.57600000 / 332.63 million ly,Sa–Sb spiral; de Vaucouleurs T=1.1,0.199 × 0.107 arcmin,"6,973.7 km/s",DERIVED 19.3 × 10.4 thousand ly,17.022 — catalog band requires verification,61.774 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2314789,HECATE v1.1 via VizieR,170.877446 48.313834,EST 7.6 billion years — object-specific late-type stellar-population model; not a direct measurement,17.03000000 / 473.66 million ly,Irregular; de Vaucouleurs T=10.0,0.173 × 0.074 arcmin,"10,201.5 km/s",DERIVED 23.8 × 10.2 thousand ly,17.886 — catalog band requires verification,60.806 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1638857,HECATE v1.1 via VizieR,153.996123 20.923310,EST 10.5 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,16.40000000 / 517.05 million ly,Lenticular / S0; de Vaucouleurs T=-2.4,0.112 × 0.100 arcmin,"11,395.4 km/s",DERIVED 16.8 × 15.0 thousand ly,17.821 — catalog band requires verification,60.627 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3447120,HECATE v1.1 via VizieR,124.460053 25.489311,EST 8.1 billion years — object-specific late-type stellar-population model; not a direct measurement,17.25500000 / 380.74 million ly,Irregular; de Vaucouleurs T=10.0,0.101 × 0.101 arcmin,"8,272.1 km/s",DERIVED 11.2 × 11.2 thousand ly,18.593 — catalog band requires verification,60.404 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3458663,HECATE v1.1 via VizieR,143.319036 39.160128,EST 9.4 billion years — object-specific general galaxy stellar-population model; not a direct measurement,18.05300000 / 609.98 million ly,Not available,0.086 × 0.076 arcmin,"13,804.0 km/s",DERIVED 15.3 × 13.5 thousand ly,18.803 — catalog band requires verification,58.344 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1648013,HECATE v1.1 via VizieR,38.060083 21.340639,EST 8.8 billion years — object-specific general galaxy stellar-population model; not a direct measurement,16.39800000 / 451.69 million ly,Not available,0.169 × 0.141 arcmin,"9,875.0 km/s",DERIVED 22.2 × 18.5 thousand ly,17.780 — catalog band requires verification,58.896 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 12717,HECATE v1.1 via VizieR,51.000834 16.182722,EST 9.7 billion years — object-specific early-spiral stellar-population model; not a direct measurement,Not available / 521.69 million ly,Sa–Sb spiral; de Vaucouleurs T=1.7,0.328 × 0.213 arcmin,"11,618.9 km/s",DERIVED 49.8 × 32.3 thousand ly,14.769 — catalog band requires verification,62.543 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 11225,HECATE v1.1 via VizieR,44.541291 24.033667,EST 9.7 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 477.00 million ly,Not available,0.331 × 0.202 arcmin,"10,495.4 km/s",DERIVED 45.9 × 28.0 thousand ly,15.802 — catalog band requires verification,59.522 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 37044,HECATE v1.1 via VizieR,177.739283 53.388926,EST 9.2 billion years — object-specific spiral stellar-population model; not a direct measurement,15.95400000 / 457.80 million ly,Sbc–Sc spiral; de Vaucouleurs T=4.2,0.213 × 0.150 arcmin,"9,774.4 km/s",DERIVED 28.4 × 20.0 thousand ly,16.940 — catalog band requires verification,61.912 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 4015620,HECATE v1.1 via VizieR,158.611113 49.860165,EST 7.4 billion years — object-specific late-type stellar-population model; not a direct measurement,17.62000000 / 608.22 million ly,Irregular; de Vaucouleurs T=10.0,0.222 × 0.124 arcmin,"13,578.0 km/s",DERIVED 39.3 × 21.9 thousand ly,18.205 — catalog band requires verification,60.888 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1834315,HECATE v1.1 via VizieR,162.928335 28.387448,EST 8.2 billion years — object-specific late-type stellar-population model; not a direct measurement,16.30200000 / 421.54 million ly,Scd–Sd spiral; de Vaucouleurs T=6.2,0.160 × 0.133 arcmin,"9,120.5 km/s",DERIVED 19.6 × 16.3 thousand ly,17.109 — catalog band requires verification,61.531 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 27574,HECATE v1.1 via VizieR,144.987567 24.955499,EST 9.3 billion years — object-specific spiral stellar-population model; not a direct measurement,14.67500000 / 270.85 million ly,Scd–Sd spiral; de Vaucouleurs T=5.7,0.282 × 0.182 arcmin,"5,853.3 km/s",DERIVED 22.2 × 14.3 thousand ly,15.430 — catalog band requires verification,63.698 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 29526,HECATE v1.1 via VizieR,152.256307 32.491853,EST 9.5 billion years — object-specific spiral stellar-population model; not a direct measurement,14.13900000 / 276.81 million ly,Scd–Sd spiral; de Vaucouleurs T=5.9,0.472 × 0.472 arcmin,"5,901.0 km/s",DERIVED 38.0 × 38.0 thousand ly,14.892 — catalog band requires verification,64.996 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 12267,HECATE v1.1 via VizieR,49.491750 41.900541,EST 11.4 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,14.09000000 / 371.77 million ly,Elliptical; de Vaucouleurs T=-5.0,0.279 × 0.211 arcmin,"8,040.6 km/s",DERIVED 30.2 × 22.8 thousand ly,16.150 — catalog band requires verification,62.966 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2806870,HECATE v1.1 via VizieR,154.830170 22.701629,EST 7.3 billion years — object-specific late-type stellar-population model; not a direct measurement,21.33100000 / 77.98 million ly,Irregular; de Vaucouleurs T=10.0,0.235 × 0.235 arcmin,"1,574.3 km/s",DERIVED 5.3 × 5.3 thousand ly,Not available,58.940 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2598064,HECATE v1.1 via VizieR,173.778081 60.105250,EST 7.1 billion years — object-specific late-type stellar-population model; not a direct measurement,15.99900000 / 117.99 million ly,Irregular; de Vaucouleurs T=10.0,0.256 × 0.208 arcmin,"2,321.6 km/s",DERIVED 8.8 × 7.1 thousand ly,16.673 — catalog band requires verification,62.351 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1656598,HECATE v1.1 via VizieR,158.031475 21.756405,EST 9.5 billion years — object-specific spiral stellar-population model; not a direct measurement,14.53200000 / 548.14 million ly,Sbc–Sc spiral; de Vaucouleurs T=3.9,0.237 × 0.177 arcmin,"12,160.6 km/s",DERIVED 37.8 × 28.2 thousand ly,16.142 — catalog band requires verification,62.806 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3611,HECATE v1.1 via VizieR,15.151957 30.668709,EST 9.3 billion years — object-specific early-spiral stellar-population model; not a direct measurement,11.52200000 / 246.13 million ly,Sa–Sb spiral; de Vaucouleurs T=2.0,0.877 × 0.330 arcmin,"4,778.7 km/s",DERIVED 62.8 × 23.6 thousand ly,13.558 — catalog band requires verification,67.950 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 35595,HECATE v1.1 via VizieR,173.080896 55.922708,EST 9.7 billion years — object-specific early-spiral stellar-population model; not a direct measurement,14.54700000 / 303.65 million ly,Sa–Sb spiral; de Vaucouleurs T=3.0,0.460 × 0.103 arcmin,"6,211.0 km/s",DERIVED 40.6 × 9.1 thousand ly,16.041 — catalog band requires verification,63.799 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 100763,HECATE v1.1 via VizieR,63.400246 25.816534,EST 9.6 billion years — object-specific general galaxy stellar-population model; not a direct measurement,16.21600000 / 308.74 million ly,Not available,0.218 × 0.071 arcmin,"6,546.0 km/s",DERIVED 19.6 × 6.4 thousand ly,18.750 — catalog band requires verification,58.872 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 5807737,HECATE v1.1 via VizieR,40.917082 23.090000,EST 9.8 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 56.74 million ly,Not available,Not available,"1,091.0 km/s",Not available,Not available,52.000 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1681584,HECATE v1.1 via VizieR,147.124343 23.108157,EST 7.6 billion years — object-specific late-type stellar-population model; not a direct measurement,15.99700000 / 473.09 million ly,Sm / Magellanic spiral; de Vaucouleurs T=7.7,0.188 × 0.093 arcmin,"10,340.7 km/s",DERIVED 25.9 × 12.8 thousand ly,17.030 — catalog band requires verification,61.722 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2392381,HECATE v1.1 via VizieR,81.637416 51.334083,EST 9.0 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 535.33 million ly,Not available,0.190 × 0.166 arcmin,"11,797.0 km/s",DERIVED 29.6 × 25.8 thousand ly,16.730 — catalog band requires verification,58.030 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 6088,HECATE v1.1 via VizieR,24.691791 29.637083,EST 9.2 billion years — object-specific general galaxy stellar-population model; not a direct measurement,14.49100000 / 593.02 million ly,Not available,0.270 × 0.119 arcmin,"13,109.0 km/s",DERIVED 46.6 × 20.5 thousand ly,16.540 — catalog band requires verification,60.540 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1474471,HECATE v1.1 via VizieR,118.906779 15.072799,EST 8.9 billion years — object-specific spiral stellar-population model; not a direct measurement,16.54400000 / 601.29 million ly,Sbc–Sc spiral; de Vaucouleurs T=5.0,0.098 × 0.098 arcmin,"13,460.7 km/s",DERIVED 17.1 × 17.1 thousand ly,18.003 — catalog band requires verification,60.392 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 29854,HECATE v1.1 via VizieR,153.558048 39.050948,EST 10.1 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,13.17000000 / 359.27 million ly,Lenticular / S0; de Vaucouleurs T=-2.0,0.414 × 0.274 arcmin,"7,550.0 km/s",DERIVED 43.3 × 28.6 thousand ly,15.388 — catalog band requires verification,64.268 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3448969,HECATE v1.1 via VizieR,127.606447 33.058134,EST 10.0 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,16.21800000 / 296.14 million ly,Lenticular / S0; de Vaucouleurs T=-2.4,0.185 × 0.082 arcmin,"6,253.6 km/s",DERIVED 15.9 × 7.1 thousand ly,17.983 — catalog band requires verification,60.757 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1806815,HECATE v1.1 via VizieR,36.935285 27.396106,EST 8.9 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 205.45 million ly,Not available,0.141 × 0.102 arcmin,"4,460.9 km/s",DERIVED 8.4 × 6.1 thousand ly,17.760 — catalog band requires verification,56.804 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3089391,HECATE v1.1 via VizieR,31.655815 26.280697,EST 9.4 billion years — object-specific general galaxy stellar-population model; not a direct measurement,14.08100000 / 576.28 million ly,Not available,0.253 × 0.248 arcmin,"12,777.5 km/s",DERIVED 42.4 × 41.6 thousand ly,16.600 — catalog band requires verification,60.412 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3445238,HECATE v1.1 via VizieR,119.980054 27.129962,EST 7.6 billion years — object-specific late-type stellar-population model; not a direct measurement,17.05800000 / 610.52 million ly,Irregular; de Vaucouleurs T=10.0,0.129 × 0.115 arcmin,"13,963.8 km/s",DERIVED 22.9 × 20.4 thousand ly,17.983 — catalog band requires verification,60.533 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1460315,HECATE v1.1 via VizieR,30.708185 14.520577,EST 8.2 billion years — object-specific late-type stellar-population model; not a direct measurement,15.46200000 / 436.86 million ly,Irregular; de Vaucouleurs T=10.0,0.164 × 0.143 arcmin,"9,585.7 km/s",DERIVED 20.8 × 18.2 thousand ly,16.454 — catalog band requires verification,62.202 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3646720,HECATE v1.1 via VizieR,43.406748 6.060713,EST 9.3 billion years — object-specific early-spiral stellar-population model; not a direct measurement,14.18600000 / 348.22 million ly,Sa–Sb spiral; de Vaucouleurs T=3.0,0.474 × 0.161 arcmin,"7,671.0 km/s",DERIVED 48.0 × 16.3 thousand ly,Not available,59.896 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2027555,HECATE v1.1 via VizieR,140.586690 33.250520,EST 7.5 billion years — object-specific late-type stellar-population model; not a direct measurement,16.93600000 / 304.47 million ly,Irregular; de Vaucouleurs T=10.0,0.180 × 0.113 arcmin,"6,369.6 km/s",DERIVED 15.9 × 10.0 thousand ly,17.866 — catalog band requires verification,60.854 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 27382,HECATE v1.1 via VizieR,144.299367 21.669195,EST 9.9 billion years — object-specific early-spiral stellar-population model; not a direct measurement,13.61900000 / 281.56 million ly,Sa–Sb spiral; de Vaucouleurs T=1.9,0.472 × 0.231 arcmin,"6,046.5 km/s",DERIVED 38.7 × 18.9 thousand ly,15.599 — catalog band requires verification,64.289 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 4000524,HECATE v1.1 via VizieR,168.437115 56.964887,EST 9.0 billion years — object-specific general galaxy stellar-population model; not a direct measurement,17.47500000 / 330.26 million ly,Not available,0.164 × 0.104 arcmin,"6,752.9 km/s",DERIVED 15.8 × 10.0 thousand ly,18.284 — catalog band requires verification,58.656 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2102240,HECATE v1.1 via VizieR,124.480504 37.499918,EST 7.5 billion years — object-specific late-type stellar-population model; not a direct measurement,16.91500000 / 560.96 million ly,Irregular; de Vaucouleurs T=10.0,0.124 × 0.108 arcmin,"12,426.2 km/s",DERIVED 20.2 × 17.6 thousand ly,17.746 — catalog band requires verification,60.750 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
