Object,Source catalog,ICRS coordinates,Galaxy age,Redshift (z) / Distance,Morphological type,Angular size,Radial velocity,Physical size,Magnitude,Interest score,Distance method,Data source,Data score
PGC33465,RC3,166.153750 45.126389,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.02172169 / 303.42 million ly,LIN [SIMBAD classification],0.990 arcmin [catalog value],"6,512.0 km/s",EST [87.4 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,70% [completeness + multi-source agreement; not a scientific certainty score]
A   0737+65,RC3,115.670000 65.177222,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.03733916 / 521.57 million ly,Not available,0.620 arcmin [catalog value],"11,194.0 km/s",EST [94.1 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; values marked EST require verification,60% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1639174,HyperLEDA PGC,48.569583 20.938611,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.360 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1638934,HECATE v1.1,28.573667 20.926972,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.03226232 / 442.80 million ly,G [SIMBAD classification],0.497 × 0.249 arcmin [catalog value; band/isophote may vary],"9,672.0 km/s",EST [64.1 × 32.1 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
PGC29474,RC3,152.047917 42.418611,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.02299924 / 321.26 million ly,LIN [SIMBAD classification],0.960 arcmin [catalog value],"6,895.0 km/s",EST [89.7 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,78% [completeness + multi-source agreement; not a scientific certainty score]
PGC 12441,HECATE v1.1,49.981377 41.522979,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.01777596 / 243.33 million ly,GiC [SIMBAD classification],Not available,"5,329.1 km/s",Not available,Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,70% [completeness + multi-source agreement; not a scientific certainty score]
PGC18739,RC3,94.005000 75.936944,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.01704513 / 238.09 million ly,GiG [SIMBAD classification],1.410 arcmin [catalog value],"5,110.0 km/s",EST [97.7 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,78% [completeness + multi-source agreement; not a scientific certainty score]
PGC 9898,HECATE v1.1,39.106083 13.780444,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.04010508 / 537.64 million ly,G [SIMBAD classification],0.330 × 0.290 arcmin [catalog value; band/isophote may vary],"12,023.2 km/s",EST [51.6 × 45.4 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
PGC 5060486,HECATE v1.1,59.118605 46.739972,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.02997741 / 415.26 million ly,G [SIMBAD classification],0.493 × 0.414 arcmin [catalog value; band/isophote may vary],"8,987.0 km/s",EST [59.6 × 50.0 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1228945,HyperLEDA PGC,45.729583 2.501667,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.470 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1677246,HyperLEDA PGC,39.092917 22.853889,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.610 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 11669,HECATE v1.1,46.716583 42.523083,"EST [typically old-dominated stellar population, roughly 9–13 billion years; morphology-based, not a direct measurement]",0.01782567 / 244.48 million ly,GiG [SIMBAD classification],0.707 × 0.636 arcmin [catalog value; band/isophote may vary],"5,344.0 km/s",EST [50.3 × 45.2 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
IC   2179,RC3,108.886250 64.925556,"EST [typically old-dominated stellar population, roughly 9–13 billion years; morphology-based, not a direct measurement]",0.01446334 / 202.03 million ly,GiP [SIMBAD classification],1.050 arcmin [catalog value],"4,336.0 km/s",EST [61.7 thousand ly; derived from adopted distance and angular size],13.450 [catalog photometry; band must be shown in viewer],Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,86% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1474146,HyperLEDA PGC,37.827500 15.061111,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.470 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1366947,HyperLEDA PGC,54.749583 9.568056,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.03298700 / 460.78 million ly,G [SIMBAD classification],0.530 arcmin [catalog value],"9,726.2 km/s",EST [71.0 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],HyperLEDA PGC; SIMBAD; values marked EST require verification,64% [completeness + multi-source agreement; not a scientific certainty score]
UGC1731               MCG3-06-048           CGCG461-69            NPM1G+18.0091,HyperLEDA PGC,33.820000 18.318056,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,Not available,1.040 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; values marked EST require verification,38% [completeness + multi-source agreement; not a scientific certainty score]
NGC   311,RC3,14.386667 30.279722,"EST [typically old-dominated stellar population, roughly 9–13 billion years; morphology-based, not a direct measurement]",0.01688501 / 235.86 million ly,GiG [SIMBAD classification],1.180 arcmin [catalog value],"5,062.0 km/s",EST [81.0 thousand ly; derived from adopted distance and angular size],14.000 [catalog photometry; band must be shown in viewer],Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,86% [completeness + multi-source agreement; not a scientific certainty score]
NGC  3220,RC3,155.938333 57.027222,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.00391035 / 54.62 million ly,GiP [SIMBAD classification],1.230 arcmin [catalog value],"1,170.0 km/s",EST [19.5 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
PGC 212910,HECATE v1.1,31.332864 13.258515,"EST [typically old-dominated stellar population, roughly 9–13 billion years; morphology-based, not a direct measurement]",0.02696499 / 367.54 million ly,G [SIMBAD classification],0.525 × 0.340 arcmin [catalog value; band/isophote may vary],"8,083.9 km/s",EST [56.1 × 36.4 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1401615,HyperLEDA PGC,53.136667 11.967222,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.410 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 12353,HECATE v1.1,49.760058 41.550258,"EST [typically old-dominated stellar population, roughly 9–13 billion years; morphology-based, not a direct measurement]",0.01413411 / 198.57 million ly,GiC [SIMBAD classification],0.680 × 0.350 arcmin [catalog value; band/isophote may vary],"4,237.3 km/s",EST [39.3 × 20.2 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1459005,HECATE v1.1,61.325459 14.471639,"EST [typically old-dominated stellar population, roughly 9–13 billion years; morphology-based, not a direct measurement]",0.02750903 / 374.43 million ly,G [SIMBAD classification],0.557 × 0.390 arcmin [catalog value; band/isophote may vary],"8,247.0 km/s",EST [60.7 × 42.5 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
FGC365,HyperLEDA PGC,44.306667 2.700833,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.02428472 / 339.22 million ly,G [SIMBAD classification],0.890 arcmin [catalog value],"7,192.0 km/s",EST [87.8 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],HyperLEDA PGC; SIMBAD; values marked EST require verification,64% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1425463,HyperLEDA PGC,59.941667 13.210000,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.580 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
IC   1873,RC3,45.968750 9.613333,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.03057800 / 427.13 million ly,G [SIMBAD classification],0.720 arcmin [catalog value],"9,027.0 km/s",EST [89.5 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,64% [completeness + multi-source agreement; not a scientific certainty score]
PGC 9214,RC3,36.409167 23.000000,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.01410583 / 197.04 million ly,AG? [SIMBAD classification],0.890 arcmin [catalog value],"4,199.0 km/s",EST [51.0 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,64% [completeness + multi-source agreement; not a scientific certainty score]
NGC   380,RC3,16.825417 32.483889,"EST [typically old-dominated stellar population, roughly 9–13 billion years; morphology-based, not a direct measurement]",0.01462345 / 204.27 million ly,GiG [SIMBAD classification],1.140 arcmin [catalog value],"4,384.0 km/s",EST [67.7 thousand ly; derived from adopted distance and angular size],13.600 [catalog photometry; band must be shown in viewer],Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,86% [completeness + multi-source agreement; not a scientific certainty score]
PGC 8135,HECATE v1.1,31.984791 19.170972,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.01725594 / 232.34 million ly,AG? [SIMBAD classification],0.887 × 0.488 arcmin [catalog value; band/isophote may vary],"5,173.2 km/s",EST [59.9 × 33.0 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1788190,HECATE v1.1,36.058076 26.782241,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.03200981 / 439.97 million ly,rG [SIMBAD classification],0.583 × 0.504 arcmin [catalog value; band/isophote may vary],"9,596.3 km/s",EST [74.6 × 64.5 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
A   1013+45,RC3,154.118333 45.321667,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.00536038 / 74.88 million ly,Not available,0.540 arcmin [catalog value],"1,607.0 km/s",EST [11.8 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; values marked EST require verification,60% [completeness + multi-source agreement; not a scientific certainty score]
PGC 5058916,HECATE v1.1,42.710832 15.472778,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.03085468 / 420.32 million ly,Not available,Not available,"9,250.0 km/s",Not available,Not available,Not evaluated by bridge,Not available,HECATE v1.1; values marked EST require verification,60% [completeness + multi-source agreement; not a scientific certainty score]
PGC 11728,HECATE v1.1,47.004084 5.966528,"EST [typically old-dominated stellar population, roughly 9–13 billion years; morphology-based, not a direct measurement]",0.02287049 / 320.08 million ly,G [SIMBAD classification],0.670 × 0.308 arcmin [catalog value; band/isophote may vary],"6,856.4 km/s",EST [62.4 × 28.7 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 8956,RC3,35.351250 16.565833,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.01378954 / 192.62 million ly,GiG [SIMBAD classification],1.400 arcmin [catalog value],"4,134.0 km/s",EST [78.4 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,78% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1316867,HyperLEDA PGC,37.859583 7.233056,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.620 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 3634370,HECATE v1.1,33.939042 18.842139,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.02815281 / 387.79 million ly,G [SIMBAD classification],0.447 × 0.223 arcmin [catalog value; band/isophote may vary],"8,440.0 km/s",EST [50.4 × 25.2 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
PGC 5058887,HECATE v1.1,39.380418 31.383889,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.01800579 / 244.79 million ly,Not available,Not available,"5,398.0 km/s",Not available,Not available,Not evaluated by bridge,Not available,HECATE v1.1; values marked EST require verification,60% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1489051,HyperLEDA PGC,47.946667 15.612222,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.670 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 97076,HECATE v1.1,77.200500 51.593056,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.02341620 / 336.14 million ly,G [SIMBAD classification],0.357 × 0.221 arcmin [catalog value; band/isophote may vary],"7,020.0 km/s",EST [34.9 × 21.6 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC11844,RC3,47.550000 42.166667,"EST [typically old-dominated stellar population, roughly 9–13 billion years; morphology-based, not a direct measurement]",0.03267237 / 456.38 million ly,G [SIMBAD classification],1.000 arcmin [catalog value],"9,635.0 km/s",EST [132.8 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1371881,HyperLEDA PGC,39.868333 9.914444,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.430 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC21859,RC3,117.150000 55.816667,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.03559129 / 497.15 million ly,rG [SIMBAD classification],0.899 × 0.686 arcmin [catalog value; band/isophote may vary],"10,670.0 km/s",EST [130.0 × 99.2 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,70% [completeness + multi-source agreement; not a scientific certainty score]
NGC  3916,RC3,177.710417 55.145556,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.01930000 / 269.59 million ly,LIN [SIMBAD classification],1.200 arcmin [catalog value],"5,730.2 km/s",EST [94.1 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
PGC 2816483,HECATE v1.1,82.840125 42.350444,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.01274215 / 181.33 million ly,AG? [SIMBAD classification],0.283 × 0.176 arcmin [catalog value; band/isophote may vary],"3,820.0 km/s",EST [14.9 × 9.3 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
A   1127+58,RC3,172.575000 58.116667,"EST [mixed/younger stellar populations possible, broadly 1–10 billion years; morphology-based, not a direct measurement]",Not available / Not available,Sm / Magellanic spiral; de Vaucouleurs T=9.0 [catalog classification],0.970 arcmin [catalog value],Not available,Not available,14.540 [catalog photometry; band must be shown in viewer],Not evaluated by bridge,Not available,RC3; values marked EST require verification,54% [completeness + multi-source agreement; not a scientific certainty score]
IC    277,RC3,44.958750 2.771389,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.00955995 / 133.54 million ly,GiG [SIMBAD classification],1.090 arcmin [catalog value],"2,866.0 km/s",EST [42.3 thousand ly; derived from adopted distance and angular size],13.870 [catalog photometry; band must be shown in viewer],Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,86% [completeness + multi-source agreement; not a scientific certainty score]
PGC 4600,RC3,19.086667 46.747500,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.01779231 / 248.53 million ly,GiG [SIMBAD classification],1.280 arcmin [catalog value],"5,334.0 km/s",EST [92.5 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,70% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1557069,HyperLEDA PGC,42.969583 18.346944,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.410 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 12713,HECATE v1.1,50.993583 37.755639,"EST [typically old-dominated stellar population, roughly 9–13 billion years; morphology-based, not a direct measurement]",0.01847945 / 253.11 million ly,GiG [SIMBAD classification],0.830 × 0.747 arcmin [catalog value; band/isophote may vary],"5,540.0 km/s",EST [61.1 × 55.0 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1465445,HyperLEDA PGC,60.184167 14.721667,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.410 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
NPM1G+22.0138,HyperLEDA PGC,61.165000 22.298611,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],Not available,Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,32% [completeness + multi-source agreement; not a scientific certainty score]
PGC13410,RC3,54.550000 41.283333,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.02025905 / 282.99 million ly,GiG [SIMBAD classification],1.140 arcmin [catalog value],"6,012.0 km/s",EST [93.8 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
PGC26540,RC3,140.650000 36.666667,"EST [mixed/younger stellar populations possible, broadly 1–10 billion years; morphology-based, not a direct measurement]",0.02655000 / 370.86 million ly,G [SIMBAD classification],1.000 arcmin [catalog value],"7,853.9 km/s",EST [107.9 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
PGC 11269,HECATE v1.1,44.685312 25.394986,"EST [mixed/younger stellar populations possible, broadly 1–10 billion years; morphology-based, not a direct measurement]",0.03448452 / 471.22 million ly,G [SIMBAD classification],0.310 × 0.248 arcmin [catalog value; band/isophote may vary],"10,338.2 km/s",EST [42.5 × 34.0 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
FGC313,HyperLEDA PGC,38.545417 21.752222,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.01428517 / 199.54 million ly,G [SIMBAD classification],0.810 arcmin [catalog value],"4,252.0 km/s",EST [47.0 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],HyperLEDA PGC; SIMBAD; values marked EST require verification,64% [completeness + multi-source agreement; not a scientific certainty score]
PGC 9733,HECATE v1.1,38.343000 27.936972,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.03759934 / 510.73 million ly,Sy1 [SIMBAD classification],0.320 × 0.262 arcmin [catalog value; band/isophote may vary],"11,272.0 km/s",EST [47.5 × 38.9 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
PGC23700,RC3,126.775000 21.650000,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.02529750 / 353.37 million ly,LIN [SIMBAD classification],1.040 arcmin [catalog value],"7,584.0 km/s",EST [106.9 thousand ly; derived from adopted distance and angular size],14.100 [catalog photometry; band must be shown in viewer],Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,86% [completeness + multi-source agreement; not a scientific certainty score]
PGC 9808,HECATE v1.1,38.621722 29.749752,"EST [mixed/younger stellar populations possible, broadly 1–10 billion years; morphology-based, not a direct measurement]",0.00342137 / 49.14 million ly,AG? [SIMBAD classification],1.910 × 0.950 arcmin [catalog value; band/isophote may vary],"1,025.7 km/s",EST [27.3 × 13.6 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 11640,HECATE v1.1,46.524666 41.725333,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.01200164 / 170.76 million ly,AG? [SIMBAD classification],0.373 × 0.336 arcmin [catalog value; band/isophote may vary],"3,598.0 km/s",EST [18.5 × 16.7 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1806815,HECATE v1.1,36.935285 27.396106,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.01487996 / 205.45 million ly,G [SIMBAD classification],0.280 × 0.200 arcmin [catalog value; band/isophote may vary],"4,460.9 km/s",EST [16.7 × 12.0 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,74% [completeness + multi-source agreement; not a scientific certainty score]
PGC 94555,HyperLEDA PGC,44.636250 13.339722,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.07308400 / 1020.87 million ly,GiC [SIMBAD classification],0.133 × 0.133 arcmin [catalog value; band/isophote may vary],"21,111.4 km/s",EST [39.5 × 39.5 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],HyperLEDA PGC; SIMBAD; values marked EST require verification,64% [completeness + multi-source agreement; not a scientific certainty score]
PGC 138392,HECATE v1.1,23.013042 22.089056,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.03349984 / 460.44 million ly,G [SIMBAD classification],0.547 × 0.199 arcmin [catalog value; band/isophote may vary],"10,043.0 km/s",EST [73.2 × 26.6 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
A   0847+29,RC3,132.739167 29.202500,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.02635156 / 368.09 million ly,Not available,Not available,"7,900.0 km/s",Not available,Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; values marked EST require verification,50% [completeness + multi-source agreement; not a scientific certainty score]
A   0943+54A,RC3,146.675000 54.433333,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,Not available,0.900 arcmin [catalog value],Not available,Not available,15.200 [catalog photometry; band must be shown in viewer],Not evaluated by bridge,Not available,RC3; values marked EST require verification,46% [completeness + multi-source agreement; not a scientific certainty score]
PGC 3098039,HyperLEDA PGC,44.357500 6.035556,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.02200189 / 307.33 million ly,GiC [SIMBAD classification],0.640 arcmin [catalog value],"6,523.5 km/s",EST [57.2 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],HyperLEDA PGC; SIMBAD; values marked EST require verification,64% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1574080,HyperLEDA PGC,51.498333 18.905000,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.320 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC22783,RC3,121.750000 80.100000,"EST [mixed/younger stellar populations possible, broadly 1–10 billion years; morphology-based, not a direct measurement]",0.00287500 / 40.16 million ly,AG? [SIMBAD classification],1.290 arcmin [catalog value],860.7 km/s,EST [15.1 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
